cx,cy
-8.916666666667,-2.833333333333
-8.916666666667,-1.833333333333
-8.916666666667,-0.833333333333
-8.916666666667,0.166666666667
-8.916666666667,1.166666666667
-8.916666666667,2.166666666667
-7.916666666667,-4.833333333333
-7.916666666667,-3.833333333333
-7.916666666667,-2.833333333333
-7.916666666667,-1.833333333333
-7.916666666667,-0.833333333333
-7.916666666667,0.166666666667
-7.916666666667,1.166666666667
-7.916666666667,2.166666666667
-7.916666666667,3.166666666667
-7.916666666667,4.166666666667
-6.916666666667,-5.833333333333
-6.916666666667,-4.833333333333
-6.916666666667,-3.833333333333
-6.916666666667,-2.833333333333
-6.916666666667,-1.833333333333
-6.916666666667,-0.833333333333
-6.916666666667,0.166666666667
-6.916666666667,1.166666666667
-6.916666666667,2.166666666667
-6.916666666667,3.166666666667
-6.916666666667,4.166666666667
-6.916666666667,5.166666666667
-6.916666666667,6.166666666667
-5.916666666667,-6.833333333333
-5.916666666667,-5.833333333333
-5.916666666667,-4.833333333333
-5.916666666667,-3.833333333333
-5.916666666667,-2.833333333333
-5.916666666667,-1.833333333333
-5.916666666667,-0.833333333333
-5.916666666667,0.166666666667
-5.916666666667,1.166666666667
-5.916666666667,2.166666666667
-5.916666666667,3.166666666667
-5.916666666667,4.166666666667
-5.916666666667,5.166666666667
-5.916666666667,6.166666666667
-5.916666666667,7.166666666667
-4.916666666667,-7.833333333333
-4.916666666667,-6.833333333333
-4.916666666667,-5.833333333333
-4.916666666667,-4.833333333333
-4.916666666667,-3.833333333333
-4.916666666667,-2.833333333333
-4.916666666667,-1.833333333333
-4.916666666667,-0.833333333333
-4.916666666667,0.166666666667
-4.916666666667,1.166666666667
-4.916666666667,2.166666666667
-4.916666666667,3.166666666667
-4.916666666667,4.166666666667
-4.916666666667,5.166666666667
-4.916666666667,6.166666666667
-4.916666666667,7.166666666667
-3.916666666667,-7.833333333333
-3.916666666667,-6.833333333333
-3.916666666667,-5.833333333333
-3.916666666667,-4.833333333333
-3.916666666667,-3.833333333333
-3.916666666667,-2.833333333333
-3.916666666667,-1.833333333333
-3.916666666667,-0.833333333333
-3.916666666667,0.166666666667
-3.916666666667,1.166666666667
-3.916666666667,2.166666666667
-3.916666666667,3.166666666667
-3.916666666667,4.166666666667
-3.916666666667,5.166666666667
-3.916666666667,6.166666666667
-3.916666666667,7.166666666667
-3.916666666667,8.166666666667
-2.916666666667,-8.833333333333
-2.916666666667,-7.833333333333
-2.916666666667,-6.833333333333
-2.916666666667,-5.833333333333
-2.916666666667,-4.833333333333
-2.916666666667,-3.833333333333
-2.916666666667,-2.833333333333
-2.916666666667,-1.833333333333
-2.916666666667,-0.833333333333
-2.916666666667,0.166666666667
-2.916666666667,1.166666666667
-2.916666666667,2.166666666667
-2.916666666667,3.166666666667
-2.916666666667,4.166666666667
-2.916666666667,5.166666666667
-2.916666666667,6.166666666667
-2.916666666667,7.166666666667
-2.916666666667,8.166666666667
-1.916666666667,-8.833333333333
-1.916666666667,-7.833333333333
-1.916666666667,-6.833333333333
-1.916666666667,-5.833333333333
-1.916666666667,-4.833333333333
-1.916666666667,-3.833333333333
-1.916666666667,-2.833333333333
-1.916666666667,-1.833333333333
-1.916666666667,-0.833333333333
-1.916666666667,0.166666666667
-1.916666666667,1.166666666667
-1.916666666667,2.166666666667
-1.916666666667,3.166666666667
-1.916666666667,4.166666666667
-1.916666666667,5.166666666667
-1.916666666667,6.166666666667
-1.916666666667,7.166666666667
-1.916666666667,8.166666666667
-1.916666666667,9.166666666667
-0.916666666667,-8.833333333333
-0.916666666667,-7.833333333333
-0.916666666667,-6.833333333333
-0.916666666667,-5.833333333333
-0.916666666667,-4.833333333333
-0.916666666667,-3.833333333333
-0.916666666667,-2.833333333333
-0.916666666667,-1.833333333333
-0.916666666667,-0.833333333333
-0.916666666667,0.166666666667
-0.916666666667,1.166666666667
-0.916666666667,2.166666666667
-0.916666666667,3.166666666667
-0.916666666667,4.166666666667
-0.916666666667,5.166666666667
-0.916666666667,6.166666666667
-0.916666666667,7.166666666667
-0.916666666667,8.166666666667
-0.916666666667,9.166666666667
0.083333333333,-8.833333333333
0.083333333333,-7.833333333333
0.083333333333,-6.833333333333
0.083333333333,-5.833333333333
0.083333333333,-4.833333333333
0.083333333333,-3.833333333333
0.083333333333,-2.833333333333
0.083333333333,-1.833333333333
0.083333333333,-0.833333333333
0.083333333333,0.166666666667
0.083333333333,1.166666666667
0.083333333333,2.166666666667
0.083333333333,3.166666666667
0.083333333333,4.166666666667
0.083333333333,5.166666666667
0.083333333333,6.166666666667
0.083333333333,7.166666666667
0.083333333333,8.166666666667
0.083333333333,9.166666666667
1.083333333333,-8.833333333333
1.083333333333,-7.833333333333
1.083333333333,-6.833333333333
1.083333333333,-5.833333333333
1.083333333333,-4.833333333333
1.083333333333,-3.833333333333
1.083333333333,-2.833333333333
1.083333333333,-1.833333333333
1.083333333333,-0.833333333333
1.083333333333,0.166666666667
1.083333333333,1.166666666667
1.083333333333,2.166666666667
1.083333333333,3.166666666667
1.083333333333,4.166666666667
1.083333333333,5.166666666667
1.083333333333,6.166666666667
1.083333333333,7.166666666667
1.083333333333,8.166666666667
1.083333333333,9.166666666667
2.083333333333,-8.833333333333
2.083333333333,-7.833333333333
2.083333333333,-6.833333333333
2.083333333333,-5.833333333333
2.083333333333,-4.833333333333
2.083333333333,-3.833333333333
2.083333333333,-2.833333333333
2.083333333333,-1.833333333333
2.083333333333,-0.833333333333
2.083333333333,0.166666666667
2.083333333333,1.166666666667
2.083333333333,2.166666666667
2.083333333333,3.166666666667
2.083333333333,4.166666666667
2.083333333333,5.166666666667
2.083333333333,6.166666666667
2.083333333333,7.166666666667
2.083333333333,8.166666666667
3.083333333333,-8.833333333333
